web-scraper-order,web-scraper-start-url,title,title-href,lokasi,luaslahan,luasbangunan,kamartidur,kamarmandi,fullyfurnished,memiliki_ac,memiliki_airpanas,memiliki_tv,memiliki_kitchenset,memiliki_balkon,memiliki_keamanan24jam,memiliki_tamanbermainanak,harga
"1696678329-2868","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/dijual-rumah-di-sunter-169656020525.html","Sunter, Jakarta Utara","160 m²","264 m²","4","4","2","null","null","null","null","null","null","null","Rp5.400.000.000"
"1696678333-2869","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/dijual-rumah-pik-2-termurah-uk-6x10-2-lantai-169660744017.html","Pantai Indah Kapuk, Jakarta Utara","60 m²","76 m²","2","2","76","null","null","null","null","null","Keamanan 24 jam","null","Rp1.850.000.000"
"1696678337-2870","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/rumah-di-jl-mawar-2-bintaro-pesanggrahan-2-lantai-169656729143.html","Bintaro, Jakarta Selatan","108 m²","200 m²","5","5","200","null","null","null","null","null","null","null","Rp1.750.000.000"
"1696678341-2871","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/rumah-citra-2-ext-full-renov-hadap-barat-169649993896.html","Kalideres, Jakarta Barat","200 m²","350 m²","5","5","350","null","null","null","null","null","null","null","Rp4.200.000.000"
"1696678345-2872","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/rumah-di-cawang-kota-strategis-rumah-tua-hitung-ta-169617004660.html","Cawang, Jakarta Timur","152 m²","200 m²","6","3","Tidak","null","null","null","null","null","null","null","Rp2.500.000.000"
"1696678348-2873","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/dijual-rumah-di-jagakarsa-jakarta-selatan-16964897727.html","Jagakarsa, Jakarta Selatan","80 m²","140 m²","4","4","140","null","null","null","null","null","Keamanan 24 jam","Taman bermain anak","Rp1.711.000.000"
"1696678353-2874","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/rumah-di-pejaten-hitung-tanah-murah-117-169652054085.html","Pejaten, Jakarta Selatan","197 m²","160 m²","2","2","160","null","null","null","null","null","null","null","Rp4.300.000.000"
"1696678357-2875","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/rumah-cengkareng-jakarta-barat-akses-mobil-169651047629.html","Cengkareng, Jakarta Barat","324 m²","250 m²","5","5","250","null","null","null","null","null","null","null","Rp4.000.000.000"
"1696678361-2876","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/tra13-brand-new-townhouse-100m-ke-jalan-raya-ragun-169651965356.html","Ragunan Jakarta Selatan
                                        Ragunan, Jakarta Selatan","114 m²","200 m²","4","4","200","null","null","null","null","null","null","null","Rp3.990.000.000"
"1696678365-2877","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/dijual-rumah-siap-huni-di-bekasi-169659595074.html","Tanah Abang, Jakarta Pusat","72 m²","64 m²","3","2","64","null","null","null","null","null","null","null","Rp690.000.000"
"1696678369-2878","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=60","Lihat","https://www.lamudi.co.id/rumah-citra-2-ext-ada-ac-3-unit-169649909178.html","Kalideres, Jakarta Barat","57 m²","80 m²","3","3","80","null","null","null","null","null","null","null","Rp1.400.000.000"
"1696678377-2879","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-pik-2-uk-10x15-2-lantai-view-danau-169667785686.html","Pantai Indah Kapuk, Jakarta Utara","150 m²","209 m²","4","4","Tidak","null","null","null","null","null","Keamanan 24 jam","null","Rp5.600.000.000"
"1696678381-2880","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-di-kelapa-gading-jl-harpa-raya-jakarta-utara-169650040980.html","Jalan Harpa & Jalan Musik Raya, Jakarta Utara 14250, Indonesia
                                        Kelapa Gading, Jakarta Utara","135 m²","195 m²","4","4","Tidak","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp2.600.000.000"
"1696678386-2881","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-2-lantai-luas-75m2-type-3-1kt-cluster-spring-169657921187.html","Pantai Indah Kapuk, Jakarta Utara","75 m²","107 m²","3","3","2","null","null","null","null","Balkon","Keamanan 24 jam","null","Rp3.000.000.000"
"1696678389-2882","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-pik-2-cluster-nashville-full-furnished-169659716512.html","Pantai Indah Kapuk, Jakarta Utara","60 m²","100 m²","3","3","100","null","null","null","null","null","null","null","Rp3.000.000.000"
"1696678394-2883","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-furnished-9x17-manyar-permai-pa-169661248940.html","Pantai Indah Kapuk, Jakarta Utara","153 m²","230 m²","4","4","Ya","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp5.500.000.000"
"1696678398-2884","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-hoek-citra-st-169650676025.html","Jalan Perumahan Citra 5, Jakarta Barat 11830, Indonesia
                                        Kalideres, Jakarta Barat","181 m²","104 m²","5","5","104","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp4.400.000.000"
"1696678401-2885","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-layak-huni-8x15-layar-permai-pi-169661621129.html","Pantai Indah Kapuk, Jakarta Utara","120 m²","180 m²","3","3","180","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp4.300.000.000"
"1696678405-2886","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/tra20-rumah-baru-2-lantai-siap-huni-di-jagakarsa-j-169651819532.html","Jagakarsa Jakarta Selatan
                                        Jagakarsa, Jakarta Selatan","73 m²","100 m²","4","4","100","null","null","null","null","null","null","null","Rp1.650.000.000"
"1696678409-2887","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-di-pondok-labu-jl-pinang-1-jakarta-selatan-169649895880.html","Jalan Pinang I, Jakarta Selatan 12450, Indonesia
                                        Pondok Labu, Jakarta Selatan","215 m²","200 m²","5","5","200","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp2.400.000.000"
"1696678413-2888","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-cantik-furnished-tanjung-priok-warakas-169662818487.html","Tanjung Priok, Jakarta Utara","192 m²","180 m²","4","4","180","Pendingin ruangan (AC)","null","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp2.899.000.000"
"1696678417-2889","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-3-lantai-di-jelambar-baru-jakarta-bar-169665448987.html","Jalan Jelambar Utama, Jakarta Barat 11460, Indonesia
                                        Jelambar, Jakarta Barat","47 m²","70 m²","4","3","70","null","null","null","null","null","null","null","Rp1.350.000.000"
"1696678421-2890","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-di-fatmawati-jakarta-selatan-169666458249.html","Fatmawati, Jakarta Selatan","247 m²","300 m²","6","5","Ya","Pendingin ruangan (AC)","Air Panas","Televisi","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp10.800.000.000"
"1696678425-2891","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-2lantai-luas-6x10-60m2-type-2-1kt-di-cluster-169666651768.html","Pantai Indah Kapuk, Jakarta Utara","60 m²","79 m²","2","2","Tidak","null","null","null","null","null","null","null","Rp1.900.000.000"
"1696678429-2892","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-3-lantai-di-duri-kepa-jakarta-barat-169666480714.html","duri kepa
                                        Duri Kepa, Jakarta Barat","47 m²","58 m²","4","3","58","null","null","null","null","null","null","null","Rp2.300.000.000"
"1696678433-2893","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-siap-huni-10x30-elang-laut-pant-169662471236.html","Pantai Indah Kapuk, Jakarta Utara","300 m²","500 m²","5","4","Tidak","Pendingin ruangan (AC)","null","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp7.500.000.000"
"1696678437-2894","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-hook-5-65x15-puri-grisenda-pik-169661403190.html","Pantai Indah Kapuk, Jakarta Utara","86 m²","130 m²","3","3","Tidak","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp2.350.000.000"
"1696678440-2895","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-layak-huni-6x15-muara-karang-10-169661844050.html","Muara Karang, Jakarta Utara","90 m²","100 m²","3","3","100","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp2.300.000.000"
"1696678444-2896","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-pik-2-uk-10x15-2-lantai-169667543149.html","Pantai Indah Kapuk, Jakarta Utara","150 m²","209 m²","4","4","Tidak","null","null","null","null","null","Keamanan 24 jam","null","Rp5.180.000.000"
"1696678448-2897","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-pik-2-uk-8x12-5-2-lantai-169660648892.html","Pantai Indah Kapuk, Jakarta Utara","100 m²","142 m²","2","2","142","null","null","null","null","null","Keamanan 24 jam","null","Rp3.400.000.000"
"1696678453-2898","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-siap-huni-8x26-katamaran-indah-169661361251.html","Pantai Indah Kapuk, Jakarta Utara","208 m²","336 m²","3","3","Tidak","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp6.900.000.000"
"1696678464-2899","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-samping-taman-6x12-5-long-beach-169661325629.html","Pantai Indah Kapuk, Jakarta Utara","75 m²","162 m²","3","4","162","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp3.100.000.000"
"1696678468-2900","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/jual-rumah-murah-di-citragran-cibubur-dekat-pintu-169656340995.html","Cibubur, Jakarta Timur","113 m²","100 m²","2","2","100","null","null","null","null","null","null","null","Rp1.300.000.000"
"1696678472-2901","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-pik-2-uk-4x15-2-lantai-169660618412.html","Pantai Indah Kapuk, Jakarta Utara","60 m²","96 m²","2","2","96","null","null","null","null","null","Keamanan 24 jam","Taman bermain anak","Rp1.950.000.000"
"1696678476-2902","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-bangunan-baru-di-sunter-169655962130.html","Sunter, Jakarta Utara","161 m²","180 m²","4","3","2","null","null","null","null","null","null","null","Rp5.900.000.000"
"1696678480-2903","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-jarang-ada-8x15-bukit-golf-medi-169661789361.html","Pantai Indah Kapuk, Jakarta Utara","144 m²","200 m²","3","3","Tidak","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","Keamanan 24 jam","null","Rp5.200.000.000"
"1696678484-2904","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-2-lantai-warakas-viii-tanjung-priok-bagus-da-169660971492.html","Tanjung Priok, Jakarta Utara","192 m²","180 m²","3","3","180","null","null","null","null","null","null","null","Rp2.800.000.000"
"1696678488-2905","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/rumah-pik2-8x15-brand-new-view-danau-pik2-pantai-i-169658262464.html","Pantai Indah Kapuk, Jakarta Utara","120 m²","140 m²","4","3","140","null","null","null","null","null","null","null","Rp5.400.000.000"
"1696678492-2906","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=59","Lihat","https://www.lamudi.co.id/dijual-rumah-pik-2-termurah-uk-6x15-2-lantai-169660693153.html","Pantai Indah Kapuk, Jakarta Utara","90 m²","136 m²","3","3","136","null","null","null","null","null","Keamanan 24 jam","null","Rp2.900.000.000"
"1696678501-2907","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-super-murah-di-pejaten-timur-jakarta-selatan-169652081959.html","Pejaten, Jakarta Selatan","121 m²","150 m²","5","5","150","null","null","null","null","null","Keamanan 24 jam","null","Rp2.300.000.000"
"1696678504-2908","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-di-lebak-bulus-jl-pertanian-iv-jakarta-selat-169650009681.html","Jalan Pertanian IV, Jakarta Selatan 12440, Indonesia
                                        Lebak Bulus, Jakarta Selatan","250 m²","200 m²","4","4","Tidak","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp3.900.000.000"
"1696678509-2909","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-the-green-court-posisi-jalan-bo-169661164742.html","Kalideres, Jakarta Barat","119 m²","150 m²","4","3","150","Pendingin ruangan (AC)","null","null","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp2.300.000.000"
"1696678512-2910","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/murah-rumah-karang-tengah-lebak-bulus-harga-dibawa-169656744115.html","Lebak Bulus, Jakarta Selatan","327 m²","185 m²","4","4","185","null","null","null","null","null","null","null","Rp2.400.000.000"
"1696678516-2911","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-muara-karang-uk-5-x-15m-169650547984.html","Muara Karang, Jakarta Utara","75 m²","150 m²","3","3","150","null","null","null","null","null","null","null","Rp2.980.000.000"
"1696678520-2912","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/jual-cepat-rumah-kios-di-daerah-petukangan-selatan-169665848580.html","Pesanggrahan, Jakarta Selatan","246 m²","220 m²","4","4","Tidak","null","null","null","null","null","null","null","Rp4.500.000.000"
"1696678525-2913","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-di-duren-sawit-perum-kavling-tni-al-jakarta-169650000045.html","Jalan Kavling Marinir, Jakarta Timur, Indonesia
                                        Duren Sawit, Jakarta Timur","394 m²","400 m²","5","5","Tidak","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp7.000.000.000"
"1696678529-2914","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-di-lebak-bulus-tropical-resort-jakarta-selat-169649948824.html","Tropical Resort
                                        Lebak Bulus, Jakarta Selatan","440 m²","300 m²","4","4","Tidak","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp9.600.000.000"
"1696678537-2915","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/ruko-siap-huni-silk-town-avenue-graha-raya-bintaro-168171978228.html","Menteng, Jakarta Pusat","70 m²","149 m²","1","2","149","null","null","null","null","null","null","null","Rp3.890.000.000"
"1696678541-2916","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/ruko-siap-huni-silk-town-avenue-brand-new-graha-ra-16817198199.html","Kebon Jeruk, Jakarta Barat","70 m²","149 m²","1","2","149","null","null","null","null","null","null","null","Rp3.890.000.032"
"1696678545-2917","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-luas-asri-di-ranco-indah-jakarta-selatan-168631487798.html","Tanjung Barat, Jakarta Selatan","769 m²","590 m²","10","7","590","null","null","null","null","null","null","null","Rp13.500.000.000"
"1696678549-2918","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/pejompongan-benhil-rumah-hitung-tanah-cocok-utk-ko-16817101230.html","Tanah Abang, Jakarta Pusat","229 m²","224 m²","3","3","224","null","null","null","null","null","null","null","Rp7.500.000.000"
"1696678553-2919","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/fortune-garden-brand-new-rumah-graha-raya-bintaro-168171978688.html","Cengkareng, Jakarta Barat","67 m²","60 m²","3","2","60","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp1.331.300.002"
"1696678557-2920","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-di-tanjung-mas-raya-16832058460.html","Tanjung Barat, Jakarta Selatan","375 m²","450 m²","6","6","450","null","null","null","null","null","null","null","Rp11.000.000.000"
"1696678561-2921","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-dijual-dekat-tb-simatupang-bisa-cicil-100x-t-169614393877.html","Fatmawati, Jakarta Selatan","105 m²","104 m²","3","3","105","null","null","null","null","Balkon","Keamanan 24 jam","Taman bermain anak","Rp1.260.000.000"
"1696678566-2922","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-murah-joglo-cicil-developer-166252239349.html","Joglo, Jakarta Barat","60 m²","50 m²","2","1","50","null","null","null","null","null","null","null","Rp500.000.000"
"1696678570-2923","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-murah-sasak-kebon-jeruk-jakarta-168301709793.html","Kebon Jeruk, Jakarta Barat","25 m²","72 m²","3","2","72","null","null","null","null","null","null","null","Rp900.000.000"
"1696678574-2924","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/bangunan-baru-dan-mewah-2-lantai-basement-private-lift.html","Pondok Indah, Jakarta Selatan","1000 m²","1750 m²","5","5","1750","Pendingin ruangan (AC)","Air Panas","Televisi","Kitchen set","Balkon","Keamanan 24 jam","null","Rp80.000.000.000"
"1696678579-2925","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-dijual-di-kebayoran-baru-selong-nyaman-jakar-169158493344.html","Kebayoran Baru, Jakarta Selatan","646 m²","500 m²","5","4","No","null","null","null","null","null","null","null","Rp39.500.000.000"
"1696678582-2926","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rmh-non-cluster-kebagusan-jak-sel-168402465197.html","Kebagusan, Jakarta Selatan","159 m²","56 m²","3","2","56","null","null","null","null","null","null","null","Rp2.000.000.000"
"1696678586-2927","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rmh-dikebagusan-3-jak-sel-168372713812.html","Kebagusan, Jakarta Selatan","113 m²","135 m²","5","4","135","null","null","null","null","null","null","null","Rp2.680.000.000"
"1696678590-2928","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-di-rancho-indah-tj-barat-jak-sel-168320881963.html","Tanjung Barat, Jakarta Selatan","103 m²","96 m²","5","2","96","null","null","null","null","null","null","null","Rp2.100.000.000"
"1696678594-2929","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/t774-rumah-baru-konsep-minimalis-dalam-komplek-di-169599455730.html","Pondok Kelapa Jakarta Timur
                                        Pondok Kelapa, Jakarta Timur","90 m²","140 m²","4","4","140","null","null","null","null","null","null","null","Rp1.900.000.000"
"1696678598-2930","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-cipedak-jagakarsa-for-sale-169649028272.html","Jl.Cipedak,Jagakarsa,Jakarta Selatan,DKI Jakarta
                                        Cipedak, Jakarta Selatan","1703 m²","330 m²","5","4","330","null","null","null","null","null","null","null","Rp15.500.000.000"
"1696678602-2931","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/t667-rumah-baru-non-komplek-bebas-banjir-di-condet-169271559543.html","Condet Jakarta Timur
                                        Condet, Jakarta Timur","141 m²","140 m²","5","5","140","null","null","null","null","null","null","null","Rp3.700.000.000"
"1696678605-2932","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/rumah-bagus-termurah-di-kebagusan-residence-169631385423.html","Kebagusan, Jakarta Selatan","201 m²","226 m²","4","3","226","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp3.547.025.900"
"1696678610-2933","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/mb208-cluster-modern-minimalis-ready-on-progres-se-169262779516.html","M.Kahfi 1 Jagakarsa Jaksel
                                        Jagakarsa, Jakarta Selatan","60 m²","130 m²","4","4","130","null","null","null","null","null","null","null","Rp2.028.000.000"
"1696678613-2934","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=58","Lihat","https://www.lamudi.co.id/jual-rumah-baru-2-lantai-169337437417.html","Jalan M Kahfi II, Jakarta Selatan 12620, Indonesia
                                        Jagakarsa, Jakarta Selatan","80 m²","80 m²","2","2","80","null","null","null","null","null","null","null","Rp570.000.000"
"1696678621-2935","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/rumah-dijual-di-meruya-illir-jakarta-barat-siap-hu-168546637289.html","Jalan Meruya Ilir, Jakarta Barat, Indonesia
                                        Meruya Selatan, Jakarta Barat","41 m²","82 m²","2","2","2","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp849.000.000"
"1696678626-2936","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/bebas-banjir-rumah-di-bojong-indah-tiga-lantai-169625659317.html","Jalan Bojong Indah Raya, Jakarta Barat 11740, Indonesia
                                        Kembangan, Jakarta Barat","60 m²","110 m²","3","3","60","null","null","null","null","null","Keamanan 24 jam","null","Rp1.150.000.000"
"1696678629-2937","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/dijual-kios-dan-rumah-pinggir-jalan-di-rw-buaya-169582578198.html","Jalan Darma Wanita V, Jakarta Barat 11740, Indonesia
                                        Rawa Buaya, Jakarta Barat","55 m²","55 m²","2","1","55","null","null","null","null","null","Keamanan 24 jam","null","Rp675.000.000"
"1696678633-2938","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/rumah-ready-stok-di-pancoran-mas-harga-paling-mura-169372707520.html","Cilandak, Jakarta Selatan","60 m²","40 m²","2","1","No","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","Taman bermain anak","Rp425.000.000"
"1696678637-2939","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/dijual-rumah-murah-di-duren-tiga-jakarta-selatan-169641693859.html","Duren Tiga, Jakarta Selatan","280 m²","216 m²","3","3","216","null","null","null","null","null","null","null","Rp7.600.000.000"
"1696678641-2940","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/rumah-di-lebak-bulus-lebak-lestari-indah-jakarta-s-169640928270.html","lebak lestari
                                        Lebak Bulus, Jakarta Selatan","200 m²","206 m²","6","6","206","null","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp6.200.000.000"
"1696678644-2941","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/dijual-rumah-murah-di-grogol-selatan-jakarta-selat-169640870555.html","Grogol Selatan, Jakarta Selatan","249 m²","249 m²","3","3","249","null","null","null","null","null","null","null","Rp5.800.000.000"
"1696678648-2942","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/dijual-rumah-mewah-di-kebon-jeruk-jakarta-barat-169640904715.html","Kebon Jeruk, Jakarta Barat","778 m²","790 m²","5","4","790","null","null","null","null","null","null","null","Rp25.100.000.000"
"1696678652-2943","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/rumah-megah-siap-huni-akses-jalan-sangat-lebar-di-166055063025.html","Jl. Tebet Timur
                                        Tebet Timur, Jakarta Selatan","430 m²","400 m²","9","5","Tidak","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","null","null","Rp12.500.000.001"
"1696678656-2944","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/kemang-jakarta-selatan-dijual-cepat-rumah-mewah-168120411746.html","Jakarta Selatan","1200 m²","1100 m²","4","4","1100","null","null","null","null","null","null","null","Rp25.000.000.000"
"1696678659-2945","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/harga-spesial-rumah-mewah-dan-megah-bergaya-eropa-klasik-area-kebayoran-baru.html","Lamandau
                                        Kebayoran Baru, Jakarta Selatan","475 m²","1200 m²","8","8","1200","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","null","null","Rp65.000.000.000"
"1696678664-2946","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/dijual-rumah-murah-kebon-jeruk-di-hook-169460181728.html","Kebon Jeruk, Jakarta Barat","108 m²","150 m²","3","3","150","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp2.000.000.000"
"1696678668-2947","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=57","Lihat","https://www.lamudi.co.id/jual-cepat-rumah-tanjung-duren-harga-nego.html","Tanjun duren
                                        Tanjung Duren, Jakarta Barat","154 m²","150 m²","2","2","150","null","null","null","null","null","null","null","Rp3.700.000.000"
